,adt,sex,h_inc,hhveh,auto_time,auto_cost,walk_time,train_time,train_cost,bike_time
0,1,0,1,1,9.283333333333333,8.3498,39.53333333333333,19.933333333333334,2.19,13.1
1,1,0,1,1,4.6,8.3498,17.2,17.2,2.425,6.916666666666667
2,1,0,1,1,11.65,12.775999999999998,127.81666666666666,33.38333333333333,2.395,42.28333333333333
3,1,0,0,0,9.95,7.7704,50.36666666666667,34.833333333333336,2.415,20.35
4,1,0,0,0,5.233333333333333,8.3498,12.966666666666667,12.966666666666667,2.425,6.6
5,1,0,0,0,2.216666666666667,8.3498,3.183333333333333,3.183333333333333,2.38,2.45
6,1,0,0,0,7.15,8.3498,17.55,11.516666666666667,2.38,6.983333333333333
7,1,0,0,0,4.65,8.3498,10.633333333333333,10.633333333333333,2.425,4.233333333333333
8,1,0,0,0,7.616666666666666,8.3498,15.933333333333334,15.933333333333334,2.425,8.2
9,1,0,0,0,9.916666666666666,7.970400000000001,70.3,26.1,2.44,19.0
10,1,0,0,0,11.016666666666667,8.3228,34.8,28.516666666666666,2.165,11.733333333333333
11,1,0,0,0,4.266666666666667,8.3498,10.666666666666666,10.666666666666666,2.425,3.9833333333333334
12,1,0,0,0,4.266666666666667,8.3498,13.016666666666667,13.016666666666667,2.425,4.283333333333333
13,1,0,0,0,2.7666666666666666,8.3498,7.8,7.8,2.385,2.4833333333333334
14,1,0,0,0,14.25,11.7864,90.96666666666667,33.13333333333333,2.465,28.95
15,1,0,0,0,7.55,8.3498,17.45,11.983333333333333,2.38,7.15
16,1,0,0,0,11.533333333333333,7.7704,47.15,29.5,2.265,16.0
17,1,0,0,0,8.333333333333334,8.3228,39.516666666666666,32.28333333333333,2.195,13.35
18,1,1,1,1,3.7666666666666666,8.3498,12.0,12.0,2.425,4.483333333333333
19,1,1,1,1,10.4,7.607800000000001,43.8,43.8,2.505,17.95
20,1,0,1,1,3.7666666666666666,8.3498,12.0,12.0,2.425,4.483333333333333
21,0,1,1,1,9.2,8.3498,34.416666666666664,22.566666666666666,2.355,9.633333333333333
22,0,1,1,1,2.1166666666666667,8.3498,7.616666666666666,7.616666666666666,2.385,2.2333333333333334
23,0,1,1,1,13.616666666666667,9.420399999999999,67.16666666666667,46.11666666666667,2.41,22.783333333333335
24,0,1,1,1,7.966666666666667,8.3228,35.333333333333336,35.333333333333336,2.07,11.65
25,1,0,0,1,21.183333333333334,16.7406,138.4,81.65,2.425,40.166666666666664
26,1,0,0,1,19.183333333333334,17.9356,169.13333333333333,64.03333333333333,2.615,59.45
27,1,0,0,1,15.633333333333333,15.2186,136.5,51.983333333333334,2.44,41.43333333333333
28,1,0,0,1,12.083333333333334,8.0304,57.0,38.63333333333333,2.41,22.733333333333334
29,1,0,0,1,10.133333333333333,8.0354,56.983333333333334,33.68333333333333,2.325,21.983333333333334
30,1,0,0,1,3.3,8.3498,17.716666666666665,17.7,2.425,4.45
31,1,1,1,3,33.45,21.4114,382.96666666666664,67.1,3.4179999999999997,123.96666666666667
32,1,1,1,0,8.933333333333334,8.3498,17.4,17.4,2.425,9.933333333333334
33,1,1,0,3,36.833333333333336,21.3134,428.5,199.73333333333332,3.523,148.6
34,1,0,0,3,6.133333333333334,8.4004,53.85,53.86666666666667,2.515,14.983333333333333
35,1,0,0,3,7.0,7.5604000000000005,50.333333333333336,50.35,2.475,15.316666666666666
36,1,0,0,3,12.233333333333333,16.1756,122.25,111.4,2.615,47.28333333333333
37,1,0,0,3,51.38333333333333,22.0504,680.0666666666667,138.46666666666667,3.821,181.16666666666666
38,1,0,0,3,18.4,12.536200000000001,99.33333333333333,23.816666666666666,2.44,33.45
39,1,0,0,3,40.7,20.845399999999998,399.96666666666664,109.8,3.3679999999999994,114.93333333333334
40,1,0,0,1,10.883333333333333,11.5664,73.75,66.4,2.405,21.866666666666667
41,1,0,0,1,11.916666666666666,12.5464,83.56666666666666,63.25,2.58,27.066666666666666
42,1,0,0,1,37.65,21.7804,484.1333333333333,221.93333333333334,3.8160000000000003,151.4
43,1,1,1,4,6.433333333333334,8.3228,37.3,37.31666666666667,2.08,10.916666666666666
44,1,1,1,4,7.883333333333334,9.4804,58.25,58.25,2.48,12.5
45,1,1,1,4,9.783333333333333,10.9284,61.983333333333334,84.53333333333333,2.46,16.883333333333333
46,1,1,1,4,8.816666666666666,8.8004,55.43333333333333,55.43333333333333,2.515,15.583333333333334
47,1,1,1,4,7.183333333333334,7.8428,39.166666666666664,39.166666666666664,2.195,13.933333333333334
48,1,1,1,4,10.1,9.2304,65.76666666666667,45.916666666666664,2.37,20.766666666666666
49,1,1,1,4,5.616666666666666,8.3228,37.0,37.0,2.08,10.483333333333333
50,1,1,1,4,8.45,8.8004,55.18333333333333,55.18333333333333,2.51,14.666666666666666
51,1,1,1,4,11.916666666666666,12.5396,87.25,64.3,2.43,25.45
52,1,1,1,4,5.616666666666666,8.3228,37.0,37.0,2.08,10.483333333333333
53,1,0,0,2,7.716666666666667,7.607800000000001,44.75,44.75,2.51,13.133333333333333
54,1,0,0,2,7.166666666666667,7.5604000000000005,50.55,50.55,2.475,13.016666666666667
55,1,0,0,2,23.783333333333335,20.2866,258.7,79.33333333333333,3.077,65.05
56,1,0,0,2,6.95,7.5604000000000005,51.766666666666666,48.516666666666666,2.515,13.683333333333334
57,1,0,0,2,16.283333333333335,13.517999999999999,128.5,45.0,2.405,40.11666666666667
58,1,0,1,1,12.95,13.987600000000002,114.48333333333333,102.63333333333334,2.48,32.46666666666667
59,1,0,1,2,6.4,8.3228,37.75,37.75,2.08,10.533333333333333
60,1,1,1,1,18.583333333333332,9.876399999999999,74.43333333333334,35.916666666666664,2.465,25.25
61,1,1,1,1,9.583333333333334,7.607800000000001,44.6,38.88333333333333,2.32,18.2
62,1,0,1,1,24.1,20.2726,244.46666666666667,81.78333333333333,2.984,68.95
63,1,0,1,1,7.55,8.3228,41.38333333333333,24.316666666666666,2.115,13.616666666666667
