,sex,inc,age,veh,auto_time,auto_cost,train_time,train_cost,active_time,mode_imputed
0,0,1,50,1,9.283333333333333,7.189800000000001,19.933333333333334,2.19,26.316666666666666,1
1,0,1,50,1,4.6,7.0898,17.2,2.425,12.058333333333334,1
2,0,1,50,1,11.65,9.668199999999999,33.38333333333333,2.395,85.05,1
3,0,0,30,0,9.95,6.5078000000000005,34.833333333333336,2.415,35.358333333333334,1
4,0,0,30,0,5.233333333333333,7.0898,12.966666666666667,2.425,9.783333333333333,2
5,0,0,30,0,2.216666666666667,7.0898,3.183333333333333,2.38,2.8166666666666664,3
6,0,0,30,0,7.15,7.0898,11.516666666666667,2.38,12.266666666666667,3
7,0,0,30,0,4.65,7.0898,10.633333333333333,2.425,7.433333333333334,3
8,0,0,30,0,7.616666666666666,7.0898,15.933333333333334,2.425,12.066666666666666,3
9,0,0,30,0,9.916666666666666,6.6904,26.1,2.44,44.65,1
10,0,0,30,0,11.016666666666667,7.0898,28.516666666666666,2.165,23.266666666666666,2
11,0,0,30,0,4.266666666666667,7.0898,10.666666666666666,2.425,7.324999999999999,3
12,0,0,30,0,4.266666666666667,7.0898,13.016666666666667,2.425,8.65,1
13,0,0,30,0,2.7666666666666666,7.0898,7.8,2.385,5.141666666666667,3
14,0,0,30,0,14.25,8.7264,33.13333333333333,2.465,59.958333333333336,1
15,0,0,30,0,7.55,7.0898,11.983333333333333,2.38,12.3,3
16,0,0,30,0,11.533333333333333,6.5078,29.5,2.265,31.575,3
17,0,0,30,0,8.333333333333334,7.162800000000001,32.28333333333333,2.195,26.433333333333334,2
18,1,1,40,1,3.7666666666666666,7.0898,12.0,2.425,8.241666666666667,1
19,1,1,40,1,10.4,6.5078,43.8,2.505,30.875,1
20,0,1,38,1,3.7666666666666666,7.0898,12.0,2.425,8.241666666666667,3
21,1,1,14,1,9.2,7.0898,22.566666666666666,2.355,22.025,1
22,1,1,14,1,2.1166666666666667,7.0898,7.616666666666666,2.385,4.925,3
23,1,1,14,1,13.616666666666667,7.1904,46.11666666666667,2.41,44.975,1
24,1,1,14,1,7.966666666666667,7.089800000000001,35.333333333333336,2.07,23.491666666666667,1
25,0,0,38,1,21.183333333333334,12.4018,81.65,2.425,89.28333333333333,1
26,0,0,38,1,19.183333333333334,12.486799999999999,64.03333333333333,2.615,114.29166666666666,1
27,0,0,38,1,15.633333333333333,9.5878,51.983333333333334,2.44,88.96666666666667,1
28,0,0,38,1,12.083333333333334,6.7354,38.63333333333333,2.41,39.86666666666667,1
29,0,0,38,1,10.133333333333333,6.745400000000001,33.68333333333333,2.325,39.483333333333334,1
30,0,0,62,1,3.3,7.0898,17.7,2.425,11.083333333333332,1
31,1,1,57,3,33.45,16.0126,67.1,3.4179999999999997,253.46666666666664,1
32,1,1,35,0,8.933333333333334,7.0898,17.4,2.425,13.666666666666666,3
33,1,0,50,3,36.833333333333336,16.2278,199.73333333333332,3.523,288.55,1
34,0,0,59,3,6.133333333333334,6.6004000000000005,53.86666666666667,2.515,34.416666666666664,1
